Hour,PV1,PV2,PV3
0,0.0034792464329641386,0.0,0.0
1,0.002774676730038745,0.008942628421031357,0.0
2,0.0047781346755797,0.015808794254154025,0.008998327445122812
3,0.0055660651203692305,0.0,0.0
4,0.0,0.024299484061601435,0.0
5,0.0036863578405608513,0.017048821444552623,0.002532219216955121
6,0.013049107918460787,0.0,0.0
7,0.16311817971345963,0.18661666227504947,0.15790038936276973
8,0.319608093689954,0.336302944238644,0.33532801575757776
9,0.4871164388729494,0.5216396543246067,0.5095619282435876
10,0.6778308820022501,0.6800122387326383,0.6632105625950206
11,0.8286843361354997,0.8425555314937251,0.8407637813043073
12,1.0,0.9745457519578984,1.0
13,0.8373338995492997,0.844069321631645,0.8333030076636344
14,0.660224604508014,0.6938622323506861,0.6711397572821122
15,0.49538074412922306,0.501229639900686,0.5037063298373708
16,0.34952544547227987,0.3206491250918513,0.3321647841902048
17,0.15905266982128935,0.1702432637791622,0.1703267605113324
18,0.01750931725467032,0.0,0.0
19,0.0,0.0015546664053329093,0.0070175496952960634
20,0.0,0.024220654748983717,0.0031620781403714493
21,0.0,0.02470862244351836,0.0
22,0.01896844471387166,0.0,0.0
23,0.003832937951451537,0.008717390244294146,0.0
